threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
0.79,0.8459627329192546,0.5192582790930549,0.46153846153846156,0.04878048780487805,0.08823529411764706,0.0594059405940594,0.7200724793171684,0.33436915971887254,675,7,117,6
0.8,0.8459627329192546,0.5192582790930549,0.46153846153846156,0.04878048780487805,0.08823529411764706,0.0594059405940594,0.7200724793171684,0.33436915971887254,675,7,117,6
0.84,0.8484472049689441,0.5173926519323844,0.5555555555555556,0.04065040650406504,0.07575757575757576,0.0499001996007984,0.7200724793171684,0.33436915971887254,678,4,118,5
0.83,0.8472049689440994,0.5166595141024724,0.5,0.04065040650406504,0.07518796992481203,0.049800796812749,0.7200724793171684,0.33436915971887254,677,5,118,5
0.85,0.8484472049689441,0.5140607491118899,0.5714285714285714,0.032520325203252036,0.06153846153846154,0.04008016032064128,0.7200724793171684,0.33436915971887254,679,3,119,4
0.88,0.8484472049689441,0.507396943470901,0.6666666666666666,0.016260162601626018,0.031746031746031744,0.020202020202020204,0.7200724793171684,0.33436915971887254,681,1,121,2
0.86,0.8472049689440994,0.506663805640989,0.5,0.016260162601626018,0.031496062992125984,0.020161290322580645,0.7200724793171684,0.33436915971887254,680,2,121,2
0.87,0.8472049689440994,0.506663805640989,0.5,0.016260162601626018,0.031496062992125984,0.020161290322580645,0.7200724793171684,0.33436915971887254,680,2,121,2
0.89,0.8484472049689441,0.5040650406504065,1.0,0.008130081300813009,0.016129032258064516,0.010141987829614604,0.7200724793171684,0.33436915971887254,682,0,122,1
0.9,0.8484472049689441,0.5040650406504065,1.0,0.008130081300813009,0.016129032258064516,0.010141987829614604,0.7200724793171684,0.33436915971887254,682,0,122,1
0.91,0.8484472049689441,0.5040650406504065,1.0,0.008130081300813009,0.016129032258064516,0.010141987829614604,0.7200724793171684,0.33436915971887254,682,0,122,1
0.92,0.8484472049689441,0.5040650406504065,1.0,0.008130081300813009,0.016129032258064516,0.010141987829614604,0.7200724793171684,0.33436915971887254,682,0,122,1
0.93,0.8472049689440994,0.5,0.0,0.0,0.0,0.0,0.7200724793171684,0.33436915971887254,682,0,123,0
0.94,0.8472049689440994,0.5,0.0,0.0,0.0,0.0,0.7200724793171684,0.33436915971887254,682,0,123,0
0.95,0.8472049689440994,0.5,0.0,0.0,0.0,0.0,0.7200724793171684,0.33436915971887254,682,0,123,0
