sleep_quality_bin,stress_bin,work_hours_bin,duration_bin,count,mean,majority_rate,minority_rate
"(0.999, 2.9]","(6.6, 7.1]","(9.7, 11.1]","(5.53, 5.96]",60,0.1,0.9,0.09999999999999998
"(4.0, 4.5]","(6.6, 7.1]","(8.5, 9.7]","(4.98, 5.53]",51,0.09803921568627451,0.9019607843137255,0.0980392156862745
"(4.0, 4.5]","(6.2, 6.6]","(9.7, 11.1]","(4.98, 5.53]",52,0.09615384615384616,0.9038461538461539,0.09615384615384615
"(4.0, 4.5]","(6.6, 7.1]","(9.7, 11.1]","(4.98, 5.53]",52,0.09615384615384616,0.9038461538461539,0.09615384615384615
"(4.0, 4.5]","(7.7, 10.0]","(11.1, 18.0]","(5.96, 6.36]",52,0.09615384615384616,0.9038461538461539,0.09615384615384615
"(4.0, 4.5]","(6.6, 7.1]","(11.1, 18.0]","(4.98, 5.53]",52,0.09615384615384616,0.9038461538461539,0.09615384615384615
"(4.0, 4.5]","(7.7, 10.0]","(11.1, 18.0]","(2.999, 4.98]",84,0.09523809523809523,0.9047619047619048,0.09523809523809523
"(4.0, 4.5]","(5.8, 6.2]","(11.1, 18.0]","(4.98, 5.53]",53,0.09433962264150944,0.9056603773584906,0.09433962264150941
"(2.9, 3.5]","(7.1, 7.7]","(9.7, 11.1]","(5.53, 5.96]",64,0.09375,0.90625,0.09375
"(4.0, 4.5]","(6.6, 7.1]","(11.1, 18.0]","(2.999, 4.98]",64,0.09375,0.90625,0.09375
"(3.5, 4.0]","(5.4, 5.8]","(9.7, 11.1]","(4.98, 5.53]",56,0.08928571428571429,0.9107142857142857,0.0892857142857143
"(6.8, 10.0]","(0.999, 3.7]","(6.1, 7.4]","(7.92, 10.5]",70,0.9142857142857143,0.9142857142857143,0.08571428571428574
"(3.5, 4.0]","(6.6, 7.1]","(11.1, 18.0]","(2.999, 4.98]",83,0.08433734939759036,0.9156626506024097,0.0843373493975903
"(2.9, 3.5]","(6.2, 6.6]","(8.5, 9.7]","(4.98, 5.53]",61,0.08196721311475409,0.9180327868852459,0.08196721311475408
"(6.8, 10.0]","(3.7, 4.5]","(8.5, 9.7]","(7.27, 7.92]",51,0.9215686274509803,0.9215686274509803,0.07843137254901966
"(3.5, 4.0]","(5.8, 6.2]","(9.7, 11.1]","(4.98, 5.53]",52,0.07692307692307693,0.9230769230769231,0.07692307692307687
"(3.5, 4.0]","(5.8, 6.2]","(11.1, 18.0]","(4.98, 5.53]",66,0.07575757575757576,0.9242424242424242,0.0757575757575758
"(2.9, 3.5]","(6.6, 7.1]","(9.7, 11.1]","(4.98, 5.53]",67,0.07462686567164178,0.9253731343283582,0.07462686567164178
